time,tp,olr,str,u10,v10,d2m,t2m,msl,sst,z,tcwv,v100,u100,Wind_Speed_10m,Wind_Speed_100m
2012-05-25 06:00:00,0.0,967019.0,-347297.0,-6.332733,-0.7912445,7.2625427,15.988495,1027.4663,,-1.4674817,11.258914,-0.74612427,-10.027695,6.381973,10.055415
2012-05-27 06:00:00,0.0,929102.0,-306923.0,-3.2344818,-0.72647095,12.264374,16.717224,1021.2394,,-1.4674817,19.383158,-0.42951965,-5.4977264,3.3150616,5.514479
2012-05-29 06:00:00,0.0,950358.0,-292807.0,1.1981506,-2.8858795,11.675842,13.147247,1016.0513,,-1.4674817,20.085064,-3.4345093,1.3946381,3.1247184,3.7068677
2012-05-31 06:00:00,4.7683716e-05,710064.0,-196980.0,1.3720245,0.6491852,13.524933,14.924713,1017.02814,,-1.4674817,28.261044,0.92248535,2.2595825,1.5178579,2.4406338
2012-06-01 06:00:00,1.7166138e-05,834413.0,-125652.0,2.111374,-3.357071,10.345612,12.167145,1017.95935,,-1.4674817,21.58571,-4.387863,2.6594543,3.9658322,5.130891
2012-06-03 06:00:00,0.0006632805,588427.0,-54772.0,-5.472397,-1.1189728,7.153717,9.111206,1008.96124,,-1.4674817,27.858854,-1.3327332,-8.052628,5.5856266,8.1621685
2012-06-05 06:00:00,2.7179718e-05,811077.0,-210403.56,2.7904358,-1.2871704,5.707062,10.537567,1018.47687,,-1.4674817,11.346985,-1.9755859,3.6885223,3.0730016,4.184273
2012-06-07 06:00:00,0.0,818413.0,-241553.38,2.1740112,3.546173,11.675171,13.610168,1004.52936,,-1.4674817,24.80599,5.397537,4.0090485,4.159528,6.7235317
2012-06-09 06:00:00,0.00017356873,828387.0,-122970.0,7.353592,7.4394684,8.914093,12.085175,1007.03186,,-1.4674817,19.738014,10.317932,10.246567,10.460449,14.541385
2012-06-11 06:00:00,0.0,805618.0,-153371.0,-3.578827,0.15466309,11.2569275,13.317932,1003.66437,,-1.4674817,22.86399,1.1543274,-5.406204,3.5821674,5.528066
2012-06-13 06:00:00,1.6212463e-05,876858.0,-279380.0,2.7259216,-3.6758118,6.99057,11.482605,1013.3237,,-1.4674817,15.834423,-4.6897125,3.3363647,4.5762696,5.7554092
2012-06-15 06:00:00,0.0005812645,683715.0,-135643.0,-3.7095795,3.5619507,11.030426,13.438446,1012.0494,,-1.4674817,27.568874,6.461014,-5.225601,5.1428075,8.30973
2012-06-17 06:00:00,7.247925e-05,911371.0,-155885.0,6.806793,5.6801453,11.238464,14.508148,1016.02374,,-1.4674817,18.465141,8.023087,9.99614,8.865466,12.817673
2012-06-19 06:00:00,0.0,936969.0,-233454.0,-0.46969604,1.6844788,12.233551,13.303314,1020.8756,,-1.4674817,18.703632,1.945282,-0.13934326,1.7487376,1.9502662
2012-06-21 06:00:00,4.7683716e-07,879991.0,-194539.0,-5.0957184,2.3187408,14.884949,16.281952,1011.32,,-1.4674817,27.038284,3.2592316,-6.8068085,5.5984735,7.546869
2012-06-23 06:00:00,4.386902e-05,738445.0,-203642.0,6.191498,5.134659,11.39035,14.07724,1018.91815,,-1.4674817,18.188126,6.968857,8.552414,8.0435915,11.032168
2012-06-25 06:00:00,4.196167e-05,925702.0,-276298.94,6.0930176,-0.72309875,11.3593445,14.087158,1013.04,,-1.4674817,19.451742,-1.2940674,8.781097,6.135775,8.875938
2012-06-27 06:00:00,3.9577484e-05,872506.0,-42788.0,5.3265686,2.5943298,15.633911,16.493622,1017.24,,-1.4674817,31.118484,3.2858276,7.3605194,5.9247684,8.060639
2012-06-29 06:00:00,0.00060749054,822506.0,-41846.0,2.8687134,3.4219208,12.503021,16.702728,1007.3956,,-1.4674817,28.780844,4.877426,4.645691,4.4653172,6.7358537
2012-07-01 06:00:00,2.7656555e-05,926850.0,-215712.0,5.2537994,4.829544,11.933624,14.848846,1012.8331,,-1.4674817,17.671711,6.4276733,7.3056946,7.1363087,9.730784
2012-07-03 06:00:00,0.0,904621.0,-240517.88,-0.6078949,2.9956512,12.234009,16.353241,1016.6138,,-1.4674817,27.650871,4.544113,-0.2881317,3.0567079,4.553239
